Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18250.56,219006.72,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),,Amazon EC2 ,0,764.9279999999999,9179.14,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (t4g.xlarge), Pricing strategy (On-Demand Utilization: 720 Hours/Month), Enable monitoring (disabled), DT Inbound: All other regions (2 TB per month), DT Outbound: Internet (2 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate,US East (Ohio),,Amazon EC2 ,0,474.62399999999997,5695.49,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (t4g.large), Pricing strategy (On-Demand Utilization: 720 Hours/Month), Enable monitoring (disabled), DT Inbound: Internet (2 TB per month), DT Outbound: Internet (2 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon RDS for SQL server,0,8045.360000000001,96544.32,USD,,"Storage amount (2 TB), Nodes (2), Instance type (db.m4.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), License (License included), Database edition (Enterprise), Pricing strategy (OnDemand), Storage for each RDS instance (General Purpose SSD (gp2)), Additional backup storage (2 TB)"
Increased_Cost Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,125.01,1500.12,USD,,Number of NAT Gateways (1)
Increased_Cost Estimate,US East (N. Virginia),,Amazon CloudFront,0,108.52,1302.24,USD,,"Data transfer out to internet (1 TB per month), Data transfer out to origin (1 TB per month), Number of requests (HTTPS) (1000000 per month)"
Increased_Cost Estimate,US East (N. Virginia),,AWS Data Transfer,0,184.32,2211.84,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (2 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (184.32)"
Increased_Cost Estimate,US East (N. Virginia),,S3 Standard,0,2.39,28.68,USD,,"S3 Standard storage (100 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (10000), GET, SELECT, and all other requests from S3 Standard (100000)"
Increased_Cost Estimate,US East (N. Virginia),,Application Load Balancer,0,500.05,6000.60,USD,,Number of Application Load Balancers (2)
Increased_Cost Estimate,US East (Ohio),,Amazon RDS for SQL server,0,8045.360000000001,96544.32,USD,,"Storage amount (2 TB), Nodes (2), Instance type (db.m4.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), License (License included), Database edition (Enterprise), Pricing strategy (OnDemand), Storage for each RDS instance (General Purpose SSD (gp2)), Additional backup storage (2 TB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
