Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,4770.8600000000015,57250.32,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon EC2 ,0,121.472,1457.66,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t3.medium), Pricing strategy (On-Demand Utilization: 730 Hours/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon EC2 ,0,242.944,2915.33,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t3.large), Pricing strategy (On-Demand Utilization: 730 Hours/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,52.85,634.20,USD,,Number of Application Load Balancers (2)
Reduced_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,2.39,28.68,USD,,"S3 Standard storage (100 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (10000), GET, SELECT, and all other requests from S3 Standard (100000)"
Reduced_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,20.48,245.76,USD,,"DT Inbound: Internet (0 TB per month), DT Outbound: All other regions (1 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon CloudFront,0,88.04,1056.48,USD,,"Data transfer out to internet (1 TB per month), Number of requests (HTTPS) (1000000 per month)"
Reduced_Cost_Estimate,US East (N. Virginia),,Amazon RDS for SQL server,0,4163.76,49965.12,USD,,"Storage amount (2 TB), Nodes (2), Instance type (db.m4.xlarge), Utilization (On-Demand only) (730 Hours/Month), Deployment option (Single-AZ), License (License included), Database edition (Enterprise), Pricing strategy (OnDemand), Storage for each RDS instance (General Purpose SSD (gp2)), Additional backup storage (2 TB)"
Reduced_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,78.93,947.16,USD,,Number of NAT Gateways (1)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
